time,open,high,low,close,tick_volume,spread,real_volume
2006-08-09,1.9062999999999999,1.9113,1.8972,1.9049,10585,30,0
2006-08-10,1.9049,1.9092,1.8867,1.8939,11638,30,0
2006-08-11,1.8937,1.8992,1.8885999999999998,1.8902,10585,30,0
2006-08-14,1.8897,1.8954,1.8841,1.8889,10011,30,0
2006-08-15,1.8889,1.8981,1.8854,1.8938000000000001,10538,30,0
2006-08-16,1.8938000000000001,1.9026,1.8879000000000001,1.8965999999999998,9962,30,0
2006-08-17,1.8965999999999998,1.9011,1.8820000000000001,1.8859,10480,30,0
2006-08-18,1.8854,1.8871,1.8775,1.8815,9560,30,0
2006-08-21,1.8814,1.8999000000000001,1.8809,1.8925999999999998,10321,30,0
2006-08-22,1.8925,1.8953,1.8855,1.8879000000000001,11118,30,0
2006-08-23,1.888,1.9001000000000001,1.8862,1.893,10523,30,0
2006-08-24,1.893,1.8976,1.8858000000000001,1.8877000000000002,11096,30,0
2006-08-25,1.8875,1.8919000000000001,1.8829,1.887,10807,30,0
2006-08-28,1.8874,1.8994,1.8862,1.8937,9021,30,0
2006-08-29,1.8938000000000001,1.9031,1.8897,1.8994,10789,30,0
2006-08-30,1.8999000000000001,1.9062999999999999,1.8972,1.9037,10828,30,0
2006-08-31,1.9042,1.9094,1.8994,1.9041000000000001,10685,30,0
2006-09-01,1.9039000000000001,1.9071,1.8956,1.9045,10571,30,0
2006-09-04,1.9064999999999999,1.9083999999999999,1.9029,1.9060000000000001,9113,30,0
2006-09-05,1.9058000000000002,1.9061,1.8912,1.8938000000000001,10614,30,0
2006-09-06,1.8937,1.8959000000000001,1.879,1.8854,10954,30,0
2006-09-07,1.8853,1.8873,1.8707,1.876,11688,30,0
2006-09-08,1.8761,1.8763999999999998,1.8628,1.8654,11762,30,0
2006-09-11,1.8653,1.8709,1.8601,1.8648,10150,30,0
2006-09-12,1.8647,1.8776000000000002,1.863,1.8739,11042,30,0
2006-09-13,1.8738000000000001,1.8780000000000001,1.871,1.8774,10680,30,0
2006-09-14,1.8776000000000002,1.8921000000000001,1.8756,1.8864999999999998,10731,30,0
2006-09-15,1.8864,1.8883999999999999,1.8753,1.879,10116,30,0
2006-09-18,1.8780000000000001,1.8843,1.8735,1.8808,11678,30,0
2006-09-19,1.8811,1.8885,1.8772,1.8813,14405,30,0
2006-09-20,1.8814,1.8928,1.8801,1.887,13937,30,0
2006-09-21,1.8869,1.9031,1.8862,1.9022999999999999,15843,30,0
2006-09-22,1.9019,1.9062000000000001,1.8993,1.9001000000000001,14828,30,0
2006-09-25,1.9008,1.9072,1.8981,1.9,14252,30,0
2006-09-26,1.9002,1.9026999999999998,1.893,1.8942,15088,30,0
2006-09-27,1.8944,1.8961000000000001,1.8852,1.8887,15105,30,0
2006-09-28,1.8888,1.8916,1.8721999999999999,1.8757000000000001,14877,30,0
2006-09-29,1.8758,1.8780999999999999,1.8631,1.8721999999999999,12588,30,0
2006-10-02,1.8747,1.8875,1.8676,1.8864,11825,30,0
2006-10-03,1.8864999999999998,1.8900000000000001,1.8855,1.8876,12252,30,0
2006-10-04,1.8875,1.8881999999999999,1.8784,1.8864999999999998,14679,30,0
2006-10-05,1.8864,1.8868,1.875,1.8787,10133,30,0
2006-10-06,1.8786,1.8856000000000002,1.8672,1.8705,9205,30,0
2006-10-09,1.8688,1.8714,1.8634,1.8667,7349,30,0
2006-10-10,1.8666,1.8702,1.8527,1.8538000000000001,9266,30,0
2006-10-11,1.8537,1.8588,1.8517000000000001,1.8542,8763,30,0
2006-10-12,1.8540999999999999,1.8612,1.8536000000000001,1.8588,8178,30,0
2006-10-13,1.8592,1.8632,1.8533,1.8557000000000001,8084,30,0
2006-10-16,1.8549,1.8646,1.8523,1.8620999999999999,9213,30,0
2006-10-17,1.862,1.8735,1.8608,1.8714,9410,30,0
2006-10-18,1.8717000000000001,1.8738000000000001,1.8662,1.8674,10140,30,0
2006-10-19,1.8672,1.8798,1.8664,1.8772,9027,30,0
2006-10-20,1.8771,1.8860000000000001,1.8754,1.8833,9003,30,0
2006-10-23,1.8829,1.8832,1.8685,1.8726,7574,30,0
2006-10-24,1.8728,1.8767,1.8672,1.8723999999999998,7907,30,0
2006-10-25,1.8721999999999999,1.8799000000000001,1.8719000000000001,1.8780999999999999,8912,30,0
2006-10-26,1.8784,1.8923999999999999,1.8777,1.8897,9167,30,0
2006-10-27,1.8898000000000001,1.9002,1.8869,1.8978000000000002,8694,30,0
2006-10-30,1.8961999999999999,1.9041000000000001,1.8953,1.8984999999999999,8325,30,0
2006-10-31,1.8987,1.9097,1.8956,1.9078,9170,30,0
2006-11-01,1.9076,1.9135,1.9054,1.9078,9205,30,0
2006-11-02,1.9081000000000001,1.9106,1.9033,1.9079000000000002,8373,30,0
2006-11-03,1.9078,1.9106999999999998,1.8974,1.9011,7918,30,0
2006-11-06,1.9016,1.9026999999999998,1.8947,1.899,7246,30,0
2006-11-07,1.8989,1.9121000000000001,1.8976,1.9068,8280,30,0
2006-11-08,1.907,1.9096,1.9005,1.9042,8201,30,0
